id,rated,variant,speed,perf,created_at_ms,last_move_at_ms,status,winner,moves,turns,opening_name,opening_eco,white_name,white_id,white_rating,black_name,black_id,black_rating,created_at,last_move_at
3lMLDOQ0,True,standard,blitz,blitz,1741865392835,1741865763798,outoftime,white,d4 d5 c4 c6 Nc3 Nf6 Bf4 dxc4 e4 b5 d5 b4 Na4 cxd5 exd5 Qxd5 Bxb8 Qe4+ Qe2 Rxb8 Qxe4 Nxe4 Bxc4 e6 b3 Be7 Ne2 Bf6 Rc1 O-O O-O Bb7 Rfd1 Rfd8 f3 Nd6 Nc5 Bc6 Na6 Rb6 Kf2 Nxc4 Rxd8+ Bxd8 Rxc4 Rxa6 Nd4 Bd7 Ke1 Rxa2 Rxb4 Kf8 Rb8 Ke7 b4 Bb6 Nb3 Bb5 Rb7+ Kf6 Nc5 Rb2 Nd7+ Kg6 Nxb6 axb6 Rxb6 Rxb4 g3 Rb3 f4 Bc4 Rc6 Bd5 Rd6 Rb2 h4 h5 Rd7 Kf6 Rc7 g6 Rd7 e5 Rd6+ Be6 fxe5+ Kxe5 Ra6 Kf5 Ra5+ Kg4 Rg5+ Kh3 Kd1 Bg4+ Kc1 Re2 Kb1 Kxg3 Rc5 Kxh4 Rc1 Kg3 Rg1+ Kf4 Rf1+ Kg5 Rxf7 h4 Rh7 h3 Kc1 h2 Kb1 Rg2 Rg7 Rg1+ Kb2 h1=Q Rxg6+,,Slav Defense,D10,betterOne,betterone,1992,spellbind,spellbind,1994,2025-03-13 11:29:52.835,2025-03-13 11:36:03.798
geCV0sRe,True,standard,blitz,blitz,1741850352485,1741850595474,outoftime,black,d4 b6 c4 Bb7 Nc3 Nf6 Nf3 d6 e3 g6 Bd3 Bg7 O-O Nbd7 Re1 O-O e4 e5 h3 exd4 Nxd4 Re8 Bg5 Ne5 Bf1 Qd7 Be3 Nc6 Nc2 Rad8 f3 a5 Qd2 Ne5 Rad1 Ba6 b3 Nc6 Na3 Bb7 Nab5 Ne5 f4 Nc6 Bd3 Nb4 Bb1 Bf8 Bd4 Bg7 a3 Nc6 e5 dxe5 fxe5 Nxe5,,English Defense,A40,spellbind,spellbind,2000,BBetschart,bbetschart,1984,2025-03-13 07:19:12.485,2025-03-13 07:23:15.474
SVpbMEtz,True,standard,blitz,blitz,1741850281737,1741850332766,resign,white,d4 Nf6 c4 e5 dxe5 Ng4 Bf4 Nc6 Nf3 Bb4+ Nc3 Bxc3+ bxc3 Qe7 Qd5 Qa3 Rc1 Qe7 h3 Ngxe5 Nxe5 Nxe5 Qxe5,,"Indian Defense: Budapest Defense, Rubinstein Variation",A52,spellbind,spellbind,1995,Dasi12,dasi12,1973,2025-03-13 07:18:01.737,2025-03-13 07:18:52.766
LPEbDXlY,True,standard,blitz,blitz,1741809480764,1741809688141,mate,white,e4 c5 Nf3 d6 Bc4 e6 d4 cxd4 Nxd4 a6 Nc3 Nf6 Bb3 Be7 O-O b5 f3 O-O Kh1 Qc7 Bg5 Nc6 Qd3 b4 Nce2 e5 Nxc6 Qxc6 Rad1 Be6 Bxf6 gxf6 Qe3 Bxb3 cxb3 Rfd8 Rd5 a5 Rfd1 a4 Ng3 Bf8 Nf5 axb3 Qxb3 Qa6 Qxb4 Qxa2 Qd2 Rab8 Nh6+ Bxh6 Qxh6 Rxb2 Qxf6 Rdb8 Qg5+ Kh8 h4 Rg8 Qf6+ Rg7 Rxd6 h6 Qxh6+ Rh7 Rd8#,,Sicilian Defense: Modern Variations,B50,Usama2020,usama2020,1990,spellbind,spellbind,2001,2025-03-12 19:58:00.764,2025-03-12 20:01:28.141
0KEfXN0j,True,standard,blitz,blitz,1741809175688,1741809475067,resign,white,d4 Nf6 c4 d5 cxd5 Nxd5 e4 Nb6 Nc3 e5 d5 Bb4 Nf3 Bd6 Be2 O-O O-O f5 exf5 Bxf5 Re1 N8d7 a4 Nf6 a5 Nbd7 Nb5 Nc5 b4 Na6 Nxd6 Qxd6 Qb3 Nxb4 Ba3 Nfxd5 Bc4 Be6 Rad1 c5 Nxe5 Rad8 Nf3 Qc6 Ng5 Bc8 Bxb4 cxb4 Rxd5 Kh8 Rxd8 Rxd8 Nf7+,,Queen's Gambit Declined: Marshall Defense,D06,spellbind,spellbind,1995,Usama2020,usama2020,1996,2025-03-12 19:52:55.688,2025-03-12 19:57:55.067
o1tQPzDG,True,standard,blitz,blitz,1741808873451,1741809160370,outoftime,white,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Bg5 e6 Be2 Be7 O-O O-O Qd2 Nbd7 h3 Qc7 Rac1 b5 a3 Rd8 Rfd1 Bb7 Qe3 Nb6 Bh4 Nc4 Bxc4 Qxc4 Bg3 Rac8 Rd3 b4 axb4 Qxb4 Nb3 Nxe4 Rd4 Rxc3 Rxb4 Rxe3 Rxb7 Nxg3 fxe3 Ne2+ Kf2 Nxc1 Rxe7 Nxb3 cxb3 Rb8 Rd7 d5 Ke2 Kf8 Kd2 Rxb3 Kc2 Rb6 Ra7 g6 g3 h5 h4 Kg7 b3 Kf6 Kc3 Rc6+ Kd3 Rd6 b4 e5 Rb7 Ke6 Kc3 f6 Kd3 Kf5 Rf7 e4+ Kd4,,Sicilian Defense: Najdorf Variation,B95,zuprichess123,zuprichess123,2044,spellbind,spellbind,2000,2025-03-12 19:47:53.451,2025-03-12 19:52:40.370
3EJpQvXv,True,standard,blitz,blitz,1741808618758,1741808869950,mate,white,d4 d5 c4 c6 Nf3 e6 Nc3 Nf6 e3 Ne4 Bd3 f5 O-O Bb4 Qc2 Bxc3 bxc3 Nd7 Ba3 b6 cxd5 exd5 c4 dxc4 Bxc4 b5 Bd3 Ndf6 Ne5 Bd7 Nxc6 Bxc6 Qxc6+ Kf7 Bxb5 Rc8 Bc4+ Kg6 Qa4 Nd2 Rfc1 Nxc4 Rxc4 Ne4 Rac1 Rxc4 Rxc4 Qb8 Qc6+ Kh5 g4+ Kxg4 f3+ Kxf3 Rc1 g6 Rf1+ Kg4 Rf4+ Kh3 Rf3+ Kh4 Be7+ Kg4 Rf4+ Kh5 Rh4#,,Semi-Slav Defense: Stonewall Defense,D45,spellbind,spellbind,1994,Amaury-Larramona,amaury-larramona,1982,2025-03-12 19:43:38.758,2025-03-12 19:47:49.950
oEBDbTb3,True,standard,blitz,blitz,1741787586495,1741787913245,outoftime,black,d4 d5 c4 Bf5 Nc3 Nf6 cxd5 Nxd5 Qb3 Nxc3 bxc3 b6 Nf3 Nd7 e3 c6 Bc4 e6 O-O b5 Be2 a5 a4 b4 Bd2 Rb8 cxb4 Bxb4 Bxb4 Rxb4 Qc3 Be4 Nd2 Bg6 Nc4 O-O Nxa5 Qxa5 Qxc6 Nf6 Bb5 Ne4 Bd3 Nd2 Bxg6 hxg6 Rfd1 Nb3 Rab1 Rfb8 d5 exd5 Rxd5 Qa7 Rd7 R8b7 Rd8+ Kh7 Qe8 g5 h4 Rxh4 Qg8+ Kg6 Rd6+ f6 Qe8+ Kh6 Qh8+ Kg6 Qe8+ Rf7 Rxb3 Qc7 Rbd3 Kh5 Rd1 g6 Rd7 Rxd7,,Queen's Gambit Declined: Baltic Defense,D06,spellbind,spellbind,2000,KhatriMihir,khatrimihir,1995,2025-03-12 13:53:06.495,2025-03-12 13:58:33.245
8rHSsCxQ,True,standard,blitz,blitz,1741787340834,1741787419508,resign,white,d4 d5 c4 c6 Nf3 Nf6 Nc3 Bg4 cxd5 Nxd5 Ne5 Nxc3 bxc3 Bf5 Qb3 Be6 Qxb7 Nd7 Nxc6 Qc8 Qxc8+ Rxc8 Nxa7 Rxc3 Bd2 Ra3 Nb5 Rxa2 Nc7+,,Slav Defense: Three Knights Variation,D15,spellbind,spellbind,1995,polski1983,polski1983,1980,2025-03-12 13:49:00.834,2025-03-12 13:50:19.508
Q1U0zhhf,True,standard,blitz,blitz,1741787046502,1741787252008,mate,black,d3 d5 c3 c5 Qb3 Nc6 Nd2 Nf6 g3 g6 Bg2 Bg7 Nh3 O-O Nf4 e6 O-O b6 e4 dxe4 Nxe4 Nxe4 dxe4 Bb7 Be3 Na5 Qc2 Qc7 Rad1 Rfd8 Bc1 Rxd1 Rxd1 Rd8 h3 Rd7 h4 Nc4 h5 Ne5 hxg6 hxg6 Bh3 Qc6 Rxd7 Nxd7 Be3 Qxe4 Qd2 Qh1#,,Mieses Opening,A00,scheermesje,scheermesje,2019,spellbind,spellbind,1989,2025-03-12 13:44:06.502,2025-03-12 13:47:32.008
