id,rated,variant,speed,perf,created_at_ms,last_move_at_ms,status,winner,moves,turns,opening_name,opening_eco,white_name,white_id,white_rating,black_name,black_id,black_rating,created_at,last_move_at
rbfVo4uh,True,standard,blitz,blitz,1662986777371,1662986902831,resign,white,d4 Nf6 Bf4 c5 Nf3 Qb6 b3 d5 c3 Nc6 e3 Bg4 h3 Bh5 Be2 e6 O-O Be7 Bg3 Rc8 Ne5 Bxe2 Qxe2 cxd4 Nxc6 Qxc6 cxd4 O-O Nd2 Bb4 Nf3 Ne4 Ne5 Qe8 Nd3 b6 Nxb4,,Indian Defense,A45,apachenauge,apachenauge,1918,Mouseslippin_Jimmy,mouseslippin_jimmy,1763,2022-09-12 12:46:17.371,2022-09-12 12:48:22.831
17Ceo2KC,True,standard,blitz,blitz,1662986497935,1662986750365,resign,black,d4 g6 Bg5 Bg7 e4 d6 c4 Nf6 Nc3 h6 Bxf6 exf6 Bd3 O-O Nge2 Re8 O-O Nc6 Bc2 a6 Qd2 Bd7 a3 Qc8 Rac1 f5 f3 fxe4 fxe4 Bg4 Qf4 Bxe2 Qxf7+ Kh7 Nxe2 Re7 Qd5 Qg4 Ng3 Nxd4 Kh1 Rae8 Bb1 h5 Rce1 h4 Nf5 gxf5 exf5 Rxe1 f6+ Kh6,,King's Indian Defense: Accelerated Averbakh Variation,E70,Mouseslippin_Jimmy,mouseslippin_jimmy,1768,jsij,jsij,1831,2022-09-12 12:41:37.935,2022-09-12 12:45:50.365
PX7QTqF7,True,standard,blitz,blitz,1662986176801,1662986492055,mate,black,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Be2 e5 Nb3 h6 O-O Be6 Be3 Be7 Kh1 b5 f3 Nbd7 Nd5 Bxd5 exd5 Qc7 Rc1 Nb6 Qd2 Nbxd5 Na5 Nxe3 Qxe3 Qxa5 f4 Qc7 fxe5 dxe5 Bf3 Rc8 c3 O-O Rcd1 Rfd8 Rde1 Bd6 Be4 Nxe4 Qxe4 Re8 Re3 Qc4 Qf5 Qe6 Qe4 Rc4 Qb7 Bc5 Ref3 Rf4 Rxf4 exf4 h3 a5 Qxb5 Bb6 Rxf4 Qe1+ Rf1 Qe6 c4 Bc7 c5 Qe5 Qc6 Qh2#,,"Sicilian Defense: Najdorf Variation, Opocensky Variation",B92,subhankar,subhankar,1755,Mouseslippin_Jimmy,mouseslippin_jimmy,1762,2022-09-12 12:36:16.801,2022-09-12 12:41:32.055
lXhbkgIp,True,standard,blitz,blitz,1662985864715,1662986157057,mate,white,d4 e6 c4 Qf6 Nf3 c5 Bg5 Qg6 e3 f5 Bd3 h6 Bf4 Qxg2 Rg1 Qh3 Be2 g5 Rg3 Qxg3 Bxg3 f4 exf4 Nf6 fxg5 hxg5 Nc3 Ng4 Nxg5 Bh6 Nge4 Nc6 dxc5 Nd4 Qxd4 Rf8 Nd6+ Kd8 Qxg4 Kc7 Ncb5+ Kc6 Qe4+ Kxc5 b4+ Kxb4 a3+ Ka5 Be5 Rg8 Bc3+ Kb6 Qd4+ Ka6 c5 Rg1+ Bf1 b6 cxb6 axb6 Nc7+ Ka7 Ncb5+ Kb8 Nc7 Kxc7 Rb1 Rg4 Qxb6#,,Horwitz Defense,A40,Mouseslippin_Jimmy,mouseslippin_jimmy,1760,takisberku,takisberku,1480,2022-09-12 12:31:04.715,2022-09-12 12:35:57.057
wb2wuf1C,True,standard,blitz,blitz,1662985569162,1662985849122,mate,white,d4 e5 dxe5 Nc6 Nf3 Bc5 e3 Nge7 Bc4 Ng6 Nc3 O-O O-O Ncxe5 Bb3 Nxf3+ Qxf3 c6 Ne4 Bb6 c4 Ne5 Qe2 d5 cxd5 cxd5 Rd1 Be6 Nc3 Qg5 f4 Qg4 fxe5 Qg6 Bc2 Qg5 Nxd5 Bg4 Qe1 Bxd1 Qxd1 Qxe5 Nxb6 axb6 Qd3 Rad8 Qxh7#,,Englund Gambit: Felbecker Gambit,A40,Mouseslippin_Jimmy,mouseslippin_jimmy,1752,Amron_Arsa143,amron_arsa143,1901,2022-09-12 12:26:09.162,2022-09-12 12:30:49.122
rlkwLv4k,True,standard,blitz,blitz,1662985176230,1662985555282,outoftime,black,d4 Nf6 Nf3 d5 Bf4 c5 c3 cxd4 cxd4 Qb6 b3 Nc6 e3 Bg4 Nbd2 e6 Bd3 Bb4 h3 Bh5 Qc1 Rc8 Qb2 Bxf3 gxf3 Rg8 Ke2 g5 Bg3 h6 f4 Nh5 Nf3 gxf4 Bxf4 Nxf4+ exf4 Ke7 Rhg1 Bd6 Rg4 Rxg4 hxg4 Bxf4 Rg1 Rg8 Bh7 Rg7 Bd3 Qc7 Qa3+ Qd6 Qxd6+ Kxd6 Bc2 Nb4 Bb1 b6 Ne1 Nc6 Kd3 f6 f3 e5 Nc2 Rh7 Na3 Re7 Nb5+ Ke6,,Queen's Pawn Game: London System,D02,Nelson909090,nelson909090,1380,Mouseslippin_Jimmy,mouseslippin_jimmy,1751,2022-09-12 12:19:36.230,2022-09-12 12:25:55.282
AZr8AO4T,True,standard,blitz,blitz,1662984779279,1662985146760,outoftime,black,e4 c5 Nf3 d6 c3 Nf6 Bd3 Bg4 h3 Bxf3 Qxf3 Nc6 O-O Ne5 Qe2 Nxd3 Qxd3 e5 f3 Be7 a4 O-O Na3 a6 Nc4 b5 Ne3 Qc7 axb5 axb5 Rxa8 Rxa8 Qxb5 g6 Nd5 Nxd5 exd5 Bh4 Qc6 Qxc6 dxc6 Rc8 b4 cxb4 cxb4 Rxc6 Ba3 Ra6 Ra1 Bg3 b5 Rb6 Rb1 Kg7 Rb3 Kf6 Kf1 d5 Ke2 d4 Bc5 Rb7 b6 Ke6 Rb5 Kd7 Ra5 Kc6 Kd3 Be1 f4 exf4 Bxd4 Bh4 Ke4 Be1 Ra7 Bxd2 Rxb7 Kxb7 Ke5 Be3 Ke4 Bxd4 Kxd4 f6 Kc5 h5,,"Sicilian Defense: Delayed Alapin Variation, with d6",B50,Jassonloor13,jassonloor13,1311,Mouseslippin_Jimmy,mouseslippin_jimmy,1750,2022-09-12 12:12:59.279,2022-09-12 12:19:06.760
b9BGVbFz,True,standard,blitz,blitz,1662984537506,1662984753755,resign,black,d4 d5 c4 e6 Nc3 Bb4 Nf3 Nc6 g3 Nf6 Bg5 h6 Bxf6 Qxf6 Bg2 O-O O-O b6 a3 Bxc3 bxc3 Ba6 cxd5 exd5 Re1 Na5 Nd2 Rfe8 e3 c6 Qc2 Nc4 Nxc4 Bxc4 a4 a5 Rab1 Rab8 Qb2 h5 h4 g5 hxg5 Qxg5 e4 h4 g4 Qxg4 exd5 h3 f3 Qg3 Rxe8+ Rxe8 Qd2 Re2,,Queen's Gambit Declined: Queen's Knight Variation,D31,Mouseslippin_Jimmy,mouseslippin_jimmy,1758,InWin,inwin,1631,2022-09-12 12:08:57.506,2022-09-12 12:12:33.755
bhqXPIQp,True,standard,blitz,blitz,1662984084313,1662984391421,outoftime,white,d4 Nf6 Nf3 c5 c4 cxd4 Nxd4 Nc6 Nxc6 bxc6 Nc3 d5 g3 d4 Na4 Qa5+ Bd2 Qe5 Bg2 Bb7 O-O e6 Bf4 Qf5 Qxd4 Rd8 Qe5 Qc2 Nc5 Bxc5 Qxc5 Nd7 Qb4 Ba8 Rfe1 c5 Qb5 Bxg2 Kxg2 Qe4+ Kg1 e5 Be3 O-O Rad1 Nf6 Bxc5 Rfe8 Rxd8 Rxd8 e3 Ng4 Be7 Qf3 Rf1 Rc8 Qd7 Ra8 h3 Nf6 Bxf6 Qxf6 Qd5,,"English Opening: Symmetrical Variation, Anti-Benoni Variation",A31,PointeDuVan,pointeduvan,1761,Mouseslippin_Jimmy,mouseslippin_jimmy,1763,2022-09-12 12:01:24.313,2022-09-12 12:06:31.421
OEJrcnej,True,standard,blitz,blitz,1662978424372,1662978629355,resign,black,d4 d5 Bg5 h6 Bf4 g5 Bg3 Nf6 Nf3 Bg4 Ne5 Be6 Nc3 Nbd7 Nb5 a6 Nxc7+ Qxc7 c3 Nxe5 Bxe5 Qb6 Rb1 Bg7 e3 O-O Bd3 Ne4 Bxg7 Kxg7 Qh5 Nf6 Qf3 Bg4 Qg3 Qd6 f4 gxf4 exf4 Qe6+ Kf2 Ne4+ Bxe4 dxe4 Qxg4+ Qxg4,,Queen's Pawn Game: Levitsky Attack,D00,Mouseslippin_Jimmy,mouseslippin_jimmy,1771,blackdemir,blackdemir,1674,2022-09-12 10:27:04.372,2022-09-12 10:30:29.355
